ml,mAU
83.98,29.15
84.11,28.40
84.24,27.54
84.38,26.72
84.51,25.82
84.64,24.88
84.78,23.97
84.91,23.02
85.04,22.02
85.18,21.02
85.31,19.98
85.44,18.93
85.58,17.85
85.71,16.83
85.84,15.72
85.98,14.62
86.11,13.53
86.24,12.41
86.38,11.33
86.51,10.24
86.64,9.13
86.78,8.06
86.91,6.99
87.04,5.94
87.18,4.84
87.31,3.80
87.44,2.69
87.58,1.71
87.71,0.65
87.84,-0.38
87.98,-1.30
88.11,-2.24
88.24,-3.16
88.38,-4.02
88.51,-4.89
88.64,-5.72
88.78,-6.52
88.91,-7.33
89.04,-8.06
89.18,-8.77
89.31,-9.50
89.44,-10.19
89.58,-10.83
89.71,-11.46
89.84,-12.11
89.98,-12.58
90.11,-13.13
90.24,-13.61
90.38,-14.10
90.51,-14.54
90.64,-14.98
90.78,-15.38
90.91,-15.77
91.04,-16.11
91.18,-16.43
91.31,-16.78
91.44,-17.05
91.58,-17.33
91.71,-17.61
91.84,-17.82
91.98,-18.06
92.11,-18.28
92.24,-18.47
92.38,-18.66
92.51,-18.83
92.64,-19.02
92.78,-19.17
92.91,-19.33
93.04,-19.47
93.17,-19.57
93.31,-19.72
93.44,-19.80
93.57,-19.95
93.71,-20.03
93.84,-20.13
93.97,-20.22
94.11,-20.33
94.24,-20.39
94.37,-20.51
94.51,-20.59
94.64,-20.64
94.77,-20.73
94.91,-20.82
95.04,-20.86
95.17,-20.95
95.31,-21.01
95.44,-21.05
95.57,-21.10
95.71,-21.17
95.84,-21.26
95.97,-21.32
96.11,-21.43
96.24,-21.50
96.37,-21.60
96.51,-21.65
96.64,-21.69
96.77,-21.75
96.91,-21.81
97.04,-21.84
97.17,-21.91
97.31,-21.98
97.44,-22.05
97.57,-22.07
97.71,-22.15
97.84,-22.24
97.97,-22.29
98.11,-22.37
98.24,-22.47
98.37,-22.52
98.51,-22.58
98.64,-22.59
98.77,-22.69
98.91,-22.72
99.04,-22.82
99.17,-22.86
99.31,-22.93
99.44,-23.01
99.57,-23.06
99.71,-23.13
99.84,-23.20
99.97,-23.23
100.11,-23.30
100.24,-23.35
100.37,-23.42
100.51,-23.46
100.64,-23.48
100.77,-23.56
100.91,-23.60
101.04,-23.61
101.17,-23.67
101.31,-23.67
101.44,-23.71
101.57,-23.73
101.71,-23.69
101.84,-23.72
101.97,-23.75
102.11,-23.75
102.24,-23.74
102.37,-23.74
102.51,-23.72
102.64,-23.71
102.77,-23.68
102.91,-23.68
103.04,-23.64
103.17,-23.58
103.31,-23.56
103.44,-23.51
103.57,-23.49
103.71,-23.47
103.84,-23.39
103.97,-23.37
104.11,-23.30
104.24,-23.27
104.37,-23.25
104.51,-23.22
104.64,-23.19
104.77,-23.18
104.91,-23.15
105.04,-23.11
105.17,-23.07
105.31,-22.99
105.44,-22.98
105.57,-22.91
105.70,-22.87
105.84,-22.80
105.97,-22.77
106.10,-22.70
106.24,-22.62
106.37,-22.58
106.50,-22.56
106.64,-22.51
106.77,-22.47
106.90,-22.41
107.04,-22.37
107.17,-22.26
107.30,-22.21
107.44,-22.14
107.57,-22.09
107.70,-22.02
107.84,-21.98
107.97,-21.90
108.10,-21.88
108.24,-21.80
108.37,-21.74
108.50,-21.68
108.64,-21.65
108.77,-21.60
108.90,-21.55
109.04,-21.51
109.17,-21.42
109.30,-21.41
109.44,-21.34
109.57,-21.29
109.70,-21.27
109.84,-21.21
109.97,-21.15
110.10,-21.13
110.24,-21.10
110.37,-21.04
110.50,-21.01
110.64,-20.99
110.77,-20.95
110.90,-20.92
111.04,-20.90
111.17,-20.85
111.30,-20.83
111.44,-20.80
111.57,-20.79
111.70,-20.77
111.84,-20.75
111.97,-20.75
112.10,-20.72
112.24,-20.73
112.37,-20.73
112.50,-20.74
112.64,-20.71
112.77,-20.76
112.90,-20.76
113.04,-20.84
113.17,-20.89
113.30,-20.95
113.44,-20.99
113.57,-21.01
113.70,-21.11
113.84,-21.14
113.97,-21.20
114.10,-21.27
114.24,-21.32
114.37,-21.40
114.50,-21.46
114.64,-21.56
114.77,-21.66
114.90,-21.73
115.04,-21.84
115.17,-21.95
115.30,-22.03
115.44,-22.12
115.57,-22.23
115.70,-22.30
115.84,-22.36
115.97,-22.41
116.10,-22.48
116.24,-22.57
116.37,-22.65
116.50,-22.70
116.64,-22.79
116.77,-22.86
