ml,mAU
17.34,0.82
17.37,0.88
17.40,0.89
17.44,0.90
17.47,0.89
17.50,0.92
17.53,0.96
17.57,0.98
17.60,0.99
17.63,1.00
17.66,1.02
17.70,1.04
17.73,1.06
17.76,1.08
17.79,1.11
17.83,1.08
17.86,1.08
17.89,1.13
17.92,1.08
17.96,1.09
17.99,1.10
18.02,1.10
18.05,1.07
18.09,1.03
18.12,1.03
18.15,1.01
18.18,0.99
18.22,0.96
18.25,0.94
18.28,0.89
18.31,0.87
18.35,0.87
18.38,0.81
18.41,0.80
18.44,0.76
18.48,0.73
18.51,0.73
18.54,0.67
18.57,0.64
18.61,0.62
18.64,0.58
18.67,0.55
18.70,0.51
18.74,0.50
18.77,0.44
18.80,0.41
18.83,0.39
18.86,0.36
18.90,0.33
18.93,0.30
18.96,0.30
18.99,0.25
19.03,0.24
19.06,0.22
19.09,0.20
19.12,0.18
19.16,0.16
19.19,0.15
19.22,0.13
19.25,0.12
19.29,0.12
19.32,0.12
19.35,0.10
19.38,0.11
19.42,0.12
19.45,0.13
19.48,0.13
19.51,0.15
19.55,0.16
19.58,0.18
19.61,0.21
19.64,0.24
19.68,0.30
19.71,0.34
19.74,0.39
19.77,0.42
19.81,0.49
19.84,0.59
19.87,0.66
19.90,0.77
19.94,0.91
19.97,1.09
20.00,1.28
20.03,1.59
20.07,1.99
20.10,2.56
20.13,3.23
20.16,4.14
20.20,5.25
20.23,6.49
20.26,8.02
20.29,9.59
20.33,11.23
20.36,12.83
20.39,14.45
20.42,15.83
20.46,16.99
20.49,17.92
20.52,18.53
20.55,18.85
20.59,18.86
20.62,18.62
20.65,18.14
20.68,17.51
20.72,16.75
20.75,15.86
20.78,14.95
20.81,13.98
20.85,13.03
20.88,12.08
20.91,11.14
20.94,10.24
20.98,9.37
21.01,8.56
21.04,7.73
21.07,7.02
21.11,6.35
21.14,5.77
21.17,5.20
21.20,4.68
21.24,4.18
21.27,3.76
21.30,3.37
21.33,3.06
21.37,2.72
21.40,2.51
21.43,2.26
21.46,2.09
21.50,1.87
21.53,1.77
21.56,1.62
21.59,1.48
21.62,1.40
21.66,1.31
21.69,1.22
21.72,1.18
21.75,1.12
21.79,1.07
21.82,1.08
21.85,1.00
21.88,0.98
21.92,1.02
21.95,1.00
21.98,1.03
22.01,1.04
22.05,1.09
22.08,1.11
22.11,1.16
22.14,1.17
22.18,1.19
22.21,1.22
22.24,1.22
22.27,1.20
22.31,1.21
22.34,1.19
22.37,1.13
22.40,1.10
22.44,1.07
22.47,1.00
22.50,0.95
22.53,0.88
22.57,0.82
22.60,0.74
22.63,0.67
22.66,0.59
22.70,0.52
22.73,0.44
22.76,0.35
22.79,0.28
22.83,0.25
22.86,0.15
22.89,0.09
22.92,0.05
22.96,0.02
22.99,-0.02
23.02,-0.08
23.05,-0.07
23.09,-0.09
23.12,-0.10
23.15,-0.09
23.18,-0.10
23.22,-0.13
23.25,-0.09
23.28,-0.07
23.31,-0.07
23.35,-0.06
23.38,-0.03
23.41,-0.02
23.44,-0.01
23.48,0.00
23.51,0.00
23.54,0.02
23.57,0.04
23.61,0.04
23.64,0.06
23.67,0.09
23.70,0.09
23.74,0.09
23.77,0.13
23.80,0.16
23.83,0.16
23.87,0.17
23.90,0.20
23.93,0.23
23.96,0.23
24.00,0.27
24.03,0.31
24.06,0.30
24.09,0.30
24.13,0.34
24.16,0.35
24.19,0.38
24.22,0.37
24.25,0.39
24.29,0.40
24.32,0.41
24.35,0.40
24.38,0.42
24.42,0.45
24.45,0.49
24.48,0.48
24.51,0.49
24.55,0.51
24.58,0.53
24.61,0.54
24.64,0.55
24.68,0.57
24.71,0.57
24.74,0.57
24.77,0.58
24.81,0.56
24.84,0.59
24.87,0.60
24.90,0.59
24.94,0.59
24.97,0.61
25.00,0.60
25.03,0.60
25.07,0.61
25.10,0.61
25.13,0.64
25.16,0.63
25.20,0.63
25.23,0.62
25.26,0.65
25.29,0.63
25.33,0.62
25.36,0.64
25.39,0.60
25.42,0.58
25.46,0.57
25.49,0.56
25.52,0.55
25.55,0.56
25.59,0.53
25.62,0.53
25.65,0.50
25.68,0.48
25.72,0.42
25.75,0.42
25.78,0.40
25.81,0.40
25.85,0.36
25.88,0.34
25.91,0.33
25.94,0.30
25.98,0.29
26.01,0.27
26.04,0.27
26.07,0.28
26.11,0.23
26.14,0.24
26.17,0.25
26.20,0.25
26.24,0.23
26.27,0.25
26.30,0.21
26.33,0.23
26.37,0.18
26.40,0.18
26.43,0.20
26.46,0.18
26.50,0.18
26.53,0.19
26.56,0.18
26.59,0.16
26.63,0.17
26.66,0.15
26.69,0.14
26.72,0.17
26.76,0.18
26.79,0.13
26.82,0.15
26.85,0.14
26.89,0.13
26.92,0.11
26.95,0.10
26.98,0.11
27.01,0.10
27.05,0.07
27.08,0.09
27.11,0.04
27.14,0.05
27.18,0.04
27.21,0.06
27.24,0.00
27.27,0.01
27.31,0.00
27.34,0.01
27.37,-0.01
27.40,-0.03
27.44,-0.04
27.47,-0.04
27.50,-0.05
27.53,-0.06
27.57,-0.07
27.60,-0.04
27.63,-0.05
27.66,-0.07
27.70,-0.08
27.73,-0.09
27.76,-0.09
27.79,-0.07
27.83,-0.10
27.86,-0.11
27.89,-0.08
27.92,-0.10
27.96,-0.10
27.99,-0.12
28.02,-0.13
28.05,-0.13
28.09,-0.11
28.12,-0.13
28.15,-0.10
28.18,-0.13
28.22,-0.14
28.25,-0.14
28.28,-0.13
28.31,-0.15
28.35,-0.14
28.38,-0.14
28.41,-0.16
28.44,-0.16
28.48,-0.16
28.51,-0.13
28.54,-0.17
28.57,-0.18
28.61,-0.16
28.64,-0.18
28.67,-0.15
28.70,-0.16
28.74,-0.15
28.77,-0.20
28.80,-0.17
28.83,-0.15
28.87,-0.17
28.90,-0.18
28.93,-0.16
28.96,-0.15
29.00,-0.18
29.03,-0.16
29.06,-0.15
29.09,-0.14
29.13,-0.16
29.16,-0.13
29.19,-0.14
29.22,-0.15
29.26,-0.12
29.29,-0.12
29.32,-0.12
29.35,-0.13
29.39,-0.12
29.42,-0.13
29.45,-0.11
29.48,-0.09
29.52,-0.10
29.55,-0.12
29.58,-0.10
29.61,-0.08
29.64,-0.09
29.68,-0.07
29.71,-0.08
29.74,-0.09
29.77,-0.06
29.81,-0.08
29.84,-0.04
29.87,-0.04
29.90,-0.04
29.94,-0.04
29.97,-0.07
